
customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary
50000001,476,France,Female,34,10,0,2,1,0,26260.98
50000001,549,France,Female,25,5,0,2,0,0,190857.79
50000001,635,Spain,Female,35,7,0,2,1,1,65951.65
50000001,616,Germany,Male,45,3,143129.41,2,0,1,64327.26
50000001,653,Germany,Male,58,1,132602.88,1,1,0,5097.67
50000001,549,Spain,Female,24,9,0,2,1,1,14406.41
50000001,587,Spain,Male,45,6,0,1,0,0,158684.81
50000001,726,France,Female,24,6,0,2,1,1,54724.03
50000001,732,France,Male,41,8,0,2,1,1,170886.17
50000001,636,Spain,Female,32,8,0,2,1,0,138555.46
50000001,510,Spain,Female,38,4,0,1,1,0,118913.53
50000001,669,France,Male,46,3,0,2,0,1,8487.75
50000001,846,France,Female,38,5,0,1,1,1,187616.16
50000001,577,France,Male,25,3,0,2,0,1,124508.29
50000001,756,Germany,Male,36,2,136815.64,1,1,1,170041.95
50000001,571,France,Male,44,9,0,2,0,0,38433.35
50000001,574,Germany,Female,43,3,141349.43,1,1,1,100187.43
50000001,411,France,Male,29,0,59697.17,2,1,1,53483.21
50000001,591,Spain,Female,39,3,0,3,1,0,140469.38
50000001,533,France,Male,36,7,85311.7,1,0,1,156731.91
